专业,题目,链接,摘要,作者,导师,学校,发表时间,等级,关键词1,关键词2,关键词3,关键词4,下载量,被引数
统计学,智慧城市评价指标体系研究?,http://cdmd.cnki.com.cn/Article/CDMD-10336-1015549436.htm,智慧城市是社会发展和信息技术进步的产物，智慧城市评价研究可为有关部门分析各地智慧城市发展情况提供依据，具有重要意义。当前具有代表性的智慧城市评价指标体系存在指标选取过于主观，维度不全，不注重权重分配，...,龚恺,辛金国,杭州电子科技大学,2014,硕士论文,智慧城市,特征选择,支持向量机,SVM-RFE,1004,6
统计学,我国信息化、城镇化与工业化互动关系研究?,http://cdmd.cnki.com.cn/Article/CDMD-10353-1015555218.htm,"关于信息化、城镇化与工业化两两之间关系的研究有很多,国内外研究已经取得了丰富的成果。但是三者的互动关系研究还较少,实证上的研究更是缺乏。本文欲在“三化”两两之间关系的基础上进一步探讨三者之间的互动机理和...",何敏,李金昌,浙江工商大学,2014,硕士论文,信息化,城镇化,工业化,向量自回归模型,354,10
统计学,我国保险业发展对经济增长影响的实证研究?,http://cdmd.cnki.com.cn/Article/CDMD-10456-1014230622.htm,关于保险业与经济增长关系的研究起源于上世纪70年代西方研究者们对金融业发展与经济增长关系的研究。随着保险业的迅速发展，以及保险业在经济发展中起到的巨大作用，研究者们开始关注保险业发展与经济增长之间的关系...,范凯,王新军,山东财经大学,2014,硕士论文,经济增长,非线性效用,滞后效用,广义矩估计,996,5
统计学,重庆市城镇居民文化消费的实证研究?,http://cdmd.cnki.com.cn/Article/CDMD-11799-1014240272.htm,改革开放以来，我国的经济有了跨越式的腾飞，经济的飞速发展不仅提高了居民收入水平，也促进了居民消费需求的增长。居民的基本温饱已经得到了满足，所以开始寻求更高层次的精神消费，文化消费恰如其分的走进了居民的...,郭华,袁德美,重庆工商大学,2014,硕士论文,文化消费,影响因素,协整检验,误差修正模型,583,6
统计学,我国省际人口迁移与区域经济发展关系研究?,http://cdmd.cnki.com.cn/Article/CDMD-10070-1015403228.htm,"人口迁移,是人类出现以来便开始存在的一种社会现象,并且此种现象伴随着人类生生不息的繁衍从未间断。人口迁移这一社会现象与人类社会的发展关系极为密切,基于二者之间的相关研究已经得到了国内外学术界的广泛关注。...",蔡阳,肖红叶,天津财经大学,2014,博士论文,省际人口迁移,人口迁移分布,人口迁移影响因素,区域经济发展,949,5
统计学,上市公司会计政策选择对企业利润影响的统计分析?,http://cdmd.cnki.com.cn/Article/CDMD-10421-1015512818.htm,"现阶段,会计政策选择这一问题在上市公司的会计实践中表现的尤为重要,越来越多的人认识到,会计政策的选择与企业的利润息息相关。为了说明这种相关程度,本文从统计学的视角,运用统计计量方法,对上市公司里面的会计政策...",郑永成,漆莉莉,江西财经大学,2014,硕士论文,上市公司会计政策,企业利润,二元选择模型,多元线性回归,1907,5
统计学,人力资本、要素配置与就业增长研究?,http://cdmd.cnki.com.cn/Article/CDMD-10353-1015555114.htm,"就业是重大民生问题,也是社会热点问题,解决社会就业问题始终是政府面临的主要且紧迫任务。鉴于就业问题的重要迫切性,部分学者基于劳动需求是一种派生需求而从经济总量增长上研究我国的就业增长,然而进入新世纪以来我...",缪仁余,钱雪亚,浙江工商大学,2014,博士论文,人力资本,物质资本,要素配置,就业增长,1721,3
统计学,总额预付下成都市医保费用的分配及骗保医院的识别?,http://cdmd.cnki.com.cn/Article/CDMD-10651-1014405263.htm,"改革开放以来,我国医疗保险制度的推进取得了令人瞩目的成就,医保政策的好处惠及到全民,“广覆盖”下必然导致了“低水平”。近几年来,医疗卫生支出费用屡创新高,有的地方甚至出现了医疗卫生费用的增长超过了当地GDP的...",朱玉峰,林华珍,西南财经大学,2014,硕士论文,总额预付,医保费用分配,骗保医院识别,线性随机效应模型,944,5
统计学,惩罚变量选择方法比较分析及其在信用卡信用风险中的应用?,http://cdmd.cnki.com.cn/Article/CDMD-10384-1014220307.htm,"随着信息化时代的发展,带来了大量数据的产生。无论生物医学、机械制造、经济金融以及机器学习、互联网信息等各个领域都迎来了大数据的挑战。因此,从众多的信息中提取出有用的信息进行分析很有必要。其中变量选择就是...",姜叶飞,谢邦昌,厦门大学,2014,硕士论文,惩罚变量选择,Logistic模型,蒙特卡洛模拟,信用卡,558,7
统计学,我国股票市场稳定性影响因素的实证研究?,http://cdmd.cnki.com.cn/Article/CDMD-10651-1014405397.htm,"我国股票市场自建立已有二十余年,成为我国市场经济不可或缺的组成部分,为我国经济建设做出了巨大贡献。然而,与国外成熟股市相比,我国股票市场具有波动大、频率高等中国特色。特别是2005年股权分置改革以来,股票价格...",曹晓波,聂富强,西南财经大学,2014,硕士论文,股票市场稳定性,投资者情绪,3σ原则,描述统计分析,1615,8
统计学,我国地方政府债务对经济增长影响的统计研究?,http://cdmd.cnki.com.cn/Article/CDMD-10378-1015554358.htm,"近几年来,为了应对2008年全球性金融危机对我国经济的冲击,各级地方政府积极利用投融资平台举借债务加大对地方公共产品的投资。地方政府债务在推动经济发展和应对危机等方面发挥积极作用的同时,也出现了一些亟需关注...",孙亚兰,卢二坡,安徽财经大学,2014,硕士论文,地方政府债务,经济增长,显性债务,隐性债务,856,5
统计学,基于GM-Markov模型的国际黄金价格预测研究?,http://cdmd.cnki.com.cn/Article/CDMD-10741-1014225517.htm,在布雷顿森林体系解体以后，世界各国政府都放宽了对黄金的管制，国际黄金价格逐步实现市场化，但黄金不仅具有商品属性，还具有货币属性和金融属性，这就使得黄金价格的影响因素更为复杂，黄金价格的波动也更为剧烈。...,刘二菊,张力远,兰州商学院,2014,硕士论文,黄金价格,预测,GM-Markov模型,,674,5
统计学,技术冲击、货币政策与金融生态系统的DSGE模型及应用研究?,http://cdmd.cnki.com.cn/Article/CDMD-10384-1014223241.htm,"动态随机一般均衡模型(DSGE)早期主要基于RBC框架分析经济波动问题,关注了技术冲击对经济波动的影响。由于一直受到“价格弹性”与“完全竞争”两个假设的限制,RBC理论认为实际变量的决定独立于货币政策,因此社会福利...",刘文倩,钱争鸣,厦门大学,2014,硕士论文,动态随机一般均衡模型(DSGE),新凯恩斯主义,金融生态,,823,5
